Designator,Mid X,Mid Y,Layer,Rotation
C1,15.24,80.01,Top,0
C2,12.7,72.39,Top,90
C3,0,60.96,Top,90
C4,-2.54,43.18,Top,180
C5,-1.27,72.39,Top,270
C10,12.7,58.42,Top,0
C11,-10.16,35.56,Top,180
C12,7.62,35.56,Top,90
C13,-5.08,31.75,Top,0
C14,-10.16,60.96,Top,90
D1,-12.7,76.2,Top,90
D2,-8.89,76.2,Top,90
IC1,6.35,72.39,Top,180
IC2,-2.54,38.1,Top,270
IC3,21.59,68.58,Top,270
LED1,7.62,41.91,Top,270
R1,-10.16,49.53,Top,180
R2,-10.16,46.99,Top,180
R3,7.62,44.45,Top,0
R4,25.4,49.53,Top,0
R5,10.16,80.01,Top,0
R6,5.08,80.01,Top,0
R7,-10.16,44.45,Top,180
R8,25.4,54.61,Top,0
R9,-10.16,52.07,Top,180
R11,25.4,59.69,Top,0
R12,-10.16,39.37,Top,180
R14,-10.16,31.75,Top,180
R15,25.4,64.77,Top,0
U2,12.7,53.34,Top,180
